KEY_CODE,population
533907892,10
533907893,18
533907894,5
533907921,23
533907922,98
533907923,8
533907924,22
533907931,25
533907932,312
533907933,91
533907934,261
533907941,855
533907942,1552
533907943,920
533907944,1249
533907951,1259
533907952,693
533907953,741
533907954,231
533907961,9
533907962,14
533907963,59
533907964,25
533907971,85
533907972,138
533907973,60
533907974,36
533907981,50
533907982,27
533907993,2
533907994,66
533910033,19
533910052,92
533910133,9
533910134,3
533910231,39
533910232,39
533910234,57
533910332,175
533910341,1
533910444,13
533910542,16
533910653,1
533911081,8
533911094,46
533911192,70
533911193,2
533911562,6
533911874,1
533911972,1
533912001,41
533912002,208
533912003,82
533912011,150
533912012,228
533912013,14
533912021,124
533912022,37
533912031,196
533912032,327
533912033,305
533912034,214
533912041,144
533912042,92
533912043,96
533912044,8
533912051,194
533912052,41
533912053,2
533912054,52
533912061,605
533912062,1529
533912063,887
533912064,1384
533912071,1652
533912072,1774
533912073,2238
533912074,1566
533912081,190
533912082,50
533912083,222
533912084,15
533912091,988
533912092,103
533912093,475
533912094,32
533912122,28
533912124,18
533912131,153
533912132,280
533912133,360
533912134,403
533912141,75
533912142,11
533912143,51
533912144,124
533912151,63
533912152,10
533912153,250
533912154,93
533912161,634
533912162,340
533912163,150
533912164,734
533912171,164
533912172,533
533912173,1659
533912174,843
533912181,675
533912182,1214
533912183,840
533912184,1873
533912191,1942
533912192,219
533912193,2171
533912194,104
533912202,3
533912212,7
533912221,115
533912222,160
533912224,18
533912231,184
533912232,201
533912233,51
533912234,255
533912241,105
533912242,355
533912243,396
533912244,877
533912251,394
533912252,610
533912254,662
533912261,2134
533912262,1793
533912263,2054
533912264,2262
533912271,1008
533912272,168
533912273,1396
533912274,628
533912281,679
533912282,3852
533912283,2438
533912284,3541
533912291,2782
533912292,935
533912293,1706
533912294,1305
533912322,6
533912331,95
533912332,269
533912333,220
533912334,286
533912341,338
533912342,1146
533912343,348
533912344,1655
533912352,413
533912354,83
533912361,1573
533912362,1322
533912363,1344
533912364,1495
533912371,2334
533912372,875
533912373,273
533912374,2366
